ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Chinese New Year,Chinese New Year_lower,Chinese New Year_upper,Chinese New Year (Observed),Chinese New Year (Observed)_lower,Chinese New Year (Observed)_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Deepavali,Deepavali_lower,Deepavali_upper,Deepavali (Observed),Deepavali (Observed)_lower,Deepavali (Observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,Hari Raya Haji,Hari Raya Haji_lower,Hari Raya Haji_upper,Hari Raya Haji (Observed),Hari Raya Haji (Observed)_lower,Hari Raya Haji (Observed)_upper,Hari Raya Puasa,Hari Raya Puasa_lower,Hari Raya Puasa_upper,Labour Day,Labour Day_lower,Labour Day_upper,Labour Day (Observed),Labour Day (Observed)_lower,Labour Day (Observed)_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Polling Day,Polling Day_lower,Polling Day_upper,Vesak Day,Vesak Day_lower,Vesak Day_upper,Vesak Day (Observed),Vesak Day (Observed)_lower,Vesak Day (Observed)_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-19,223.15409142597466,2713.289239141633,5300.60609979016,223.15407535216366,223.1541088300475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3758.6170008229583,3758.6170008229583,3758.6170008229583,3460.5305439999993,3460.5305439999993,3460.5305439999993,0.0,0.0,0.0,-331.20288919370245,-331.20288919370245,-331.20288919370245,1942.4838528055,1942.4838528055,1942.4838528055,-1313.1945067888387,-1313.1945067888387,-1313.1945067888387,0.0,0.0,0.0,3981.7710922489327
2023-03-26,226.61207866140143,4324.769797309611,6903.9127120386665,226.61205796838115,226.6121010497537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5237.232547064013,5237.232547064013,5237.232547064013,3460.530544,3460.530544,3460.530544,0.0,0.0,0.0,953.0479016568355,953.0479016568355,953.0479016568355,1942.4838528055002,1942.4838528055002,1942.4838528055002,-1118.8297513983232,-1118.8297513983232,-1118.8297513983232,0.0,0.0,0.0,5463.844625725414
2023-04-02,230.0700658968282,1174.4669193173665,3900.3560103147665,230.07003971760872,230.07009336527284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266.3198567849295,2266.3198567849295,2266.3198567849295,3460.5305439999934,3460.5305439999934,3460.5305439999934,0.0,0.0,0.0,-2236.803311304386,-2236.803311304386,-2236.803311304386,1942.4838528055006,1942.4838528055006,1942.4838528055006,-899.8912287161758,-899.8912287161758,-899.8912287161758,0.0,0.0,0.0,2496.3899226817575
2023-04-09,233.52805313225497,1605.9744962334605,4158.789888725209,233.52801937346197,233.52808650200248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701.1736856865814,2701.1736856865814,2701.1736856865814,3460.530543999991,3460.530543999991,3460.530543999991,0.0,0.0,0.0,-2035.3109469520602,-2035.3109469520602,-2035.3109469520602,1942.4838528055006,1942.4838528055006,1942.4838528055006,-666.5297641668496,-666.5297641668496,-666.5297641668496,0.0,0.0,0.0,2934.7017388188365
2023-04-16,236.98604036768174,5262.05272067421,7944.822155472718,236.98600067647004,236.98607930914153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6397.406712123366,6397.406712123366,6397.406712123366,3460.5305439999956,3460.5305439999956,3460.5305439999956,0.0,0.0,0.0,1423.5776178713954,1423.5776178713954,1423.5776178713954,1942.4838528055006,1942.4838528055006,1942.4838528055006,-429.1853025535257,-429.1853025535257,-429.1853025535257,0.0,0.0,0.0,6634.392752491048
2023-04-23,240.44402760310845,3535.823059965184,6145.87819910649,240.44398208894566,240.44407210800665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4521.063141440643,4521.063141440643,4521.063141440643,3460.530543999997,3460.530543999997,3460.530543999997,0.0,0.0,0.0,-683.9230712368344,-683.9230712368344,-683.9230712368344,1942.4838528055013,1942.4838528055013,1942.4838528055013,-198.0281841280206,-198.0281841280206,-198.0281841280206,0.0,0.0,0.0,4761.507169043752
2023-04-30,243.90201483853522,4600.344101591832,7284.41779567475,243.90196279436557,243.90206647540975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5728.514173708563,5728.514173708563,5728.514173708563,3460.530543999999,3460.530543999999,3460.530543999999,0.0,0.0,0.0,307.9229936960096,307.9229936960096,307.9229936960096,1942.4838528055009,1942.4838528055009,1942.4838528055009,17.576783207054426,17.576783207054426,17.576783207054426,0.0,0.0,0.0,5972.4161885470985
2023-05-07,247.360002073962,3885.60963596852,6555.654927575232,247.3599432828825,247.3600599622376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.230259228405,5026.230259228405,5026.230259228405,3460.5305439999975,3460.5305439999975,3460.5305439999975,0.0,0.0,0.0,-586.3373990581057,-586.3373990581057,-586.3373990581057,1942.483852805501,1942.483852805501,1942.483852805501,209.55326148101366,209.55326148101366,209.55326148101366,0.0,0.0,0.0,5273.590261302367
2023-05-14,250.81798930938876,5405.498377977182,7978.463056409639,250.81792380388143,250.8180536237311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434.7163656189305,6434.7163656189305,6434.7163656189305,3460.5305439999947,3460.5305439999947,3460.5305439999947,0.0,0.0,0.0,660.1856801658146,660.1856801658146,660.1856801658146,1942.4838528055006,1942.4838528055006,1942.4838528055006,371.5162886476214,371.5162886476214,371.5162886476214,0.0,0.0,0.0,6685.534354928319
2023-05-21,254.27597654481553,4828.169039462064,7317.824609613405,254.2759029534428,254.27604825092536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.971595274208,5920.971595274208,5920.971595274208,3460.5305439999966,3460.5305439999966,3460.5305439999966,0.0,0.0,0.0,18.884385372129834,18.884385372129834,18.884385372129834,1942.4838528055009,1942.4838528055009,1942.4838528055009,499.0728130965811,499.0728130965811,499.0728130965811,0.0,0.0,0.0,6175.2475718190235
2023-05-28,257.73396378024233,7503.717370991057,10073.198030250453,257.7338834530995,257.734042570815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8531.11475530292,8531.11475530292,8531.11475530292,3460.5305439999975,3460.5305439999975,3460.5305439999975,0.0,0.0,0.0,2538.0968640059605,2538.0968640059605,2538.0968640059605,1942.4838528055006,1942.4838528055006,1942.4838528055006,590.003494491463,590.003494491463,590.003494491463,0.0,0.0,0.0,8788.848719083162
2023-06-04,261.1919510156691,6985.5147168858475,9617.632276484364,261.19186356688596,261.1920382215937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8059.275256478798,8059.275256478798,8059.275256478798,3460.530544000002,3460.530544000002,3460.530544000002,0.0,0.0,0.0,2011.9445430540284,2011.9445430540284,2011.9445430540284,1942.4838528055006,1942.4838528055006,1942.4838528055006,644.316316619269,644.316316619269,644.316316619269,0.0,0.0,0.0,8320.467207494466
2023-06-11,264.6499382510958,3146.094234271425,5779.780416367928,264.6498425893197,264.65003307875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4140.760701522865,4140.760701522865,4140.760701522865,3460.530543999998,3460.530543999998,3460.530543999998,0.0,0.0,0.0,-1926.4236917574094,-1926.4236917574094,-1926.4236917574094,1942.4838528055009,1942.4838528055009,1942.4838528055009,664.1699964747776,664.1699964747776,664.1699964747776,0.0,0.0,0.0,4405.410639773961
2023-06-18,268.10792548652256,4372.037644876584,6933.949159974088,268.10781933829776,268.1080268305314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5366.8973868956755,5366.8973868956755,5366.8973868956755,3460.530543999999,3460.530543999999,3460.530543999999,0.0,0.0,0.0,-689.7897229793401,-689.7897229793401,-689.7897229793401,1942.4838528055006,1942.4838528055006,1942.4838528055006,653.6727130695168,653.6727130695168,653.6727130695168,0.0,0.0,0.0,5635.005312382198
2023-06-25,271.56591272194936,5549.696240532746,8245.126140697206,271.5657959246795,271.5660211107689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.267413363831,6600.267413363831,6600.267413363831,3460.530543999999,3460.530543999999,3460.530543999999,0.0,0.0,0.0,578.6841326270271,578.6841326270271,578.6841326270271,1942.4838528055006,1942.4838528055006,1942.4838528055006,618.5688839313044,618.5688839313044,618.5688839313044,0.0,0.0,0.0,6871.833326085781
2023-07-02,275.0238999573761,2915.5016492933714,5480.87288166844,275.023775470122,275.0240151701142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3949.633011984424,3949.633011984424,3949.633011984424,3460.530544000006,3460.530544000006,3460.530544000006,0.0,0.0,0.0,-2019.2145558032523,-2019.2145558032523,-2019.2145558032523,1942.483852805501,1942.483852805501,1942.483852805501,565.8331709821691,565.8331709821691,565.8331709821691,0.0,0.0,0.0,4224.6569119418
2023-07-09,278.4818871928029,3088.5467968229855,5784.898208282558,278.4817518717675,278.4820109538824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4127.299847499019,4127.299847499019,4127.299847499019,3460.5305439999993,3460.5305439999993,3460.5305439999993,0.0,0.0,0.0,-1778.9107773603291,-1778.9107773603291,-1778.9107773603291,1942.4838528055002,1942.4838528055002,1942.4838528055002,503.19622805385114,503.19622805385114,503.19622805385114,0.0,0.0,0.0,4405.781734691822
2023-07-16,281.93987442822964,6451.574916116387,9118.978483953559,281.9397314606311,281.9400080825407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7457.531235239044,7457.531235239044,7457.531235239044,3460.530544000002,3460.530544000002,3460.530544000002,0.0,0.0,0.0,1615.8862360481348,1615.8862360481348,1615.8862360481348,1942.4838528055006,1942.4838528055006,1942.4838528055006,438.6306023854075,438.6306023854075,438.6306023854075,0.0,0.0,0.0,7739.471109667274
